DATE,GDPC1
2019-04-01,18962.175
2019-05-01,19018.427333333333
2019-06-01,19074.679666666667
2019-07-01,19130.932
2019-08-01,19159.185
2019-09-01,19187.438
2019-10-01,19215.691
2019-11-01,19140.419666666665
2019-12-01,19065.148333333334
2020-01-01,18989.877
2020-02-01,18452.822
2020-03-01,17915.767
2020-04-01,17378.712
2020-05-01,17833.714666666667
2020-06-01,18288.717333333334
2020-07-01,18743.72
2020-08-01,18803.90066666667
2020-09-01,18864.08133333333
2020-10-01,18924.262
2020-11-01,19021.582666666665
2020-12-01,19118.903333333332
2021-01-01,19216.224
2021-02-01,19325.565333333332
2021-03-01,19434.906666666666
2021-04-01,19544.248
2021-05-01,19587.03
2021-06-01,19629.812
2021-07-01,19672.594
2021-08-01,19783.789666666667
2021-09-01,19894.985333333334
2021-10-01,20006.181
2021-11-01,19978.816666666666
2021-12-01,19951.452333333335
2022-01-01,19924.088
2022-02-01,19914.482333333333
2022-03-01,19904.876666666667
2022-04-01,19895.271
2022-05-01,19948.40166666667
2022-06-01,20001.532333333333
2022-07-01,20054.663
2022-08-01,20097.272333333334
2022-09-01,20139.881666666668
2022-10-01,20182.491
2022-11-01,20182.491
2022-12-01,20182.491
