,DATE,UNRATE
245,2022-06-01,3.6
246,2022-07-01,3.5
247,2022-08-01,3.7
248,2022-09-01,3.5
249,2022-10-01,3.7
250,2022-11-01,3.6
251,2022-12-01,3.5
252,2023-01-01,3.4
253,2023-02-01,3.6
254,2023-03-01,3.5
255,2023-04-01,3.4
256,2023-05-01,3.7
257,2023-06-01,3.6
258,2023-07-01,3.5
259,2023-08-01,3.8
