,housing_units,consumer_sentiment,ppi_building,mortgage_rate,ppi_trans,newly_owned_houses,working_age_pop,unemp_rate,pop_growth,gdp_data,target_var,cluster_labels
47,126424.0,91.5,115.3,4.9,126.3,1994.0,191014166.666667,4.9,0.921713167161207,15176.469333333333,180.91,2
48,126584.0,91.2,115.7,4.7,126.3,2273.0,193201416.666667,4.7,0.964253917136075,15244.088,182.32,2
49,126746.66666666669,86.7,116.6,4.8,126.3,2119.0,193201416.666667,4.8,0.964253917136075,15256.567,183.287,2
50,126909.33333333331,88.9,115.1,4.7,126.3,1969.0,193201416.666667,4.7,0.964253917136075,15269.046,184.364,2
51,127072.0,87.4,117.9,4.7,126.3,1821.0,193201416.666667,4.7,0.964253917136075,15281.525,184.329,2
52,127230.66666666669,79.1,116.4,4.6,126.3,1942.0,193201416.666667,4.6,0.964253917136075,15289.189,184.156,2
53,127389.33333333331,84.9,122.8,4.6,126.3,1802.0,193201416.666667,4.6,0.964253917136075,15296.853,183.507,2
54,127548.0,84.7,122.5,4.7,126.3,1737.0,193201416.666667,4.7,0.964253917136075,15304.517,183.067,2
55,127695.66666666669,82.0,123.6,4.7,126.3,1650.0,193201416.666667,4.7,0.964253917136075,15347.559,182.596,2
56,127843.33333333331,85.4,127.7,4.5,126.3,1720.0,193201416.666667,4.5,0.964253917136075,15390.601,182.798,2
57,127991.0,93.6,122.0,4.4,126.3,1491.0,193201416.666667,4.4,0.964253917136075,15433.643,183.198,2
58,128140.33333333331,92.1,117.2,4.5,126.3,1570.0,193201416.666667,4.5,0.964253917136075,15448.747333333333,183.609,2
59,128289.66666666669,91.7,119.8,4.4,100.0,1649.0,193201416.666667,4.4,0.964253917136075,15463.851666666667,184.138,2
60,128439.0,96.9,119.7,4.6,101.7,1409.0,195639000.0,4.6,0.951055242772428,15478.956,184.516,2
61,128588.66666666669,91.3,121.0,4.5,101.9,1480.0,195639000.0,4.5,0.951055242772428,15511.897,184.598,2
62,128738.33333333331,88.4,121.1,4.4,102.3,1495.0,195639000.0,4.4,0.951055242772428,15544.838,184.149,2
63,128888.0,87.1,121.3,4.5,102.8,1490.0,195639000.0,4.5,0.951055242772428,15577.779,183.01,2
64,129025.33333333331,88.3,124.6,4.4,103.4,1415.0,195639000.0,4.4,0.951055242772428,15609.054333333332,181.6,2
65,129162.66666666669,85.3,125.2,4.6,104.7,1448.0,195639000.0,4.6,0.951055242772428,15640.329666666668,180.254,2
66,129300.0,90.4,125.1,4.7,105.1,1354.0,195639000.0,4.7,0.951055242772428,15671.605,179.111,2
67,129411.33333333331,83.4,123.5,4.6,105.4,1330.0,195639000.0,4.6,0.951055242772428,15703.452,178.11700000000002,2
68,129522.66666666669,83.4,122.9,4.7,104.5,1183.0,195639000.0,4.7,0.951055242772428,15735.299,177.558,2
69,129634.0,80.9,122.0,4.7,105.6,1264.0,195639000.0,4.7,0.951055242772428,15767.146,176.62400000000002,2
70,129745.33333333331,76.1,120.2,4.7,106.5,1197.0,195639000.0,4.7,0.951055242772428,15745.732666666669,175.14700000000002,2
71,129856.66666666669,75.5,122.1,5.0,106.6,1037.0,195639000.0,5.0,0.951055242772428,15724.319333333337,174.342,2
72,129968.0,78.4,120.4,5.0,108.3,1084.0,196626583.333333,5.0,0.945865287282592,15702.906,173.132,2
73,130079.66666666669,70.8,120.5,4.9,108.3,1103.0,196626583.333333,4.9,0.945865287282592,15732.861666666668,171.54,2
74,130191.33333333331,69.5,119.6,5.1,109.8,1005.0,196626583.333333,5.1,0.945865287282592,15762.817333333332,170.053,0
75,130303.0,62.6,119.0,5.0,110.5,1013.0,196626583.333333,5.0,0.945865287282592,15792.773,168.338,0
76,130398.66666666669,59.8,119.5,5.4,112.7,973.0,196626583.333333,5.4,0.945865287282592,15765.036,166.65900000000002,0
77,130494.33333333331,56.4,123.5,5.6,115.1,1046.0,196626583.333333,5.6,0.945865287282592,15737.299,165.017,0
78,130590.0,61.2,123.9,5.8,116.0,923.0,196626583.333333,5.8,0.945865287282592,15709.562,163.566,0
79,130659.0,63.0,122.6,6.1,116.0,844.0,196626583.333333,6.1,0.945865287282592,15595.243666666667,161.988,0
80,130728.0,70.3,122.6,6.1,115.1,820.0,196626583.333333,6.1,0.945865287282592,15480.925333333333,160.308,0
81,130797.0,57.6,120.9,6.5,114.3,777.0,196626583.333333,6.5,0.945865287282592,15366.607,158.326,0
82,130865.0,55.3,120.6,6.8,112.3,652.0,196626583.333333,6.8,0.945865287282592,15306.896333333334,156.141,0
83,130933.0,60.1,119.1,7.3,109.9,560.0,196626583.333333,7.3,0.945865287282592,15247.185666666666,153.618,0
84,131001.0,61.2,122.0,7.8,110.0,490.0,197803250.0,7.8,0.876651298802912,15187.475,151.506,0
85,131069.66666666669,56.3,120.9,8.3,108.2,582.0,197803250.0,8.3,0.876651298802912,15178.907333333334,150.014,0
86,131138.33333333334,57.3,122.0,8.7,107.2,505.0,197803250.0,8.7,0.876651298802912,15170.339666666669,148.66,0
87,131207.0,65.1,122.0,9.0,107.1,478.0,197803250.0,9.0,0.876651298802912,15161.772,147.94799999999998,0
88,131263.0,68.7,120.8,9.4,106.4,540.0,197803250.0,9.4,0.876651298802912,15180.063666666669,147.695,0
89,131319.0,70.8,123.0,9.5,107.0,585.0,197803250.0,9.5,0.876651298802912,15198.355333333337,148.09,0
90,131375.0,66.0,121.9,9.5,107.8,594.0,197803250.0,9.5,0.876651298802912,15216.647,148.409,0
91,131413.33333333334,65.7,122.6,9.6,108.6,586.0,197803250.0,9.6,0.876651298802912,15270.816333333334,148.27700000000002,0
92,131451.66666666666,73.5,121.5,9.8,108.0,585.0,197803250.0,9.8,0.876651298802912,15324.985666666667,148.024,0
93,131490.0,70.6,118.2,10.0,108.6,534.0,197803250.0,10.0,0.876651298802912,15379.155,147.849,0
94,131535.33333333334,67.4,114.9,9.9,109.4,588.0,197803250.0,9.9,0.876651298802912,15404.789666666667,148.134,0
95,131580.66666666666,72.5,119.5,9.9,109.4,581.0,197803250.0,9.9,0.876651298802912,15430.424333333332,147.929,0
96,131626.0,74.4,119.7,9.8,111.1,614.0,199123250.0,9.8,0.829616674709795,15456.059,147.395,0
97,131667.0,73.6,119.6,9.8,111.2,604.0,199123250.0,9.8,0.829616674709795,15505.915333333332,145.631,0
98,131708.0,73.6,120.3,9.9,112.1,636.0,199123250.0,9.9,0.829616674709795,15555.771666666667,145.859,0
99,131749.0,72.2,126.2,9.9,112.6,687.0,199123250.0,9.9,0.829616674709795,15605.628,146.404,0
100,131790.66666666666,73.6,125.6,9.6,112.8,583.0,199123250.0,9.6,0.829616674709795,15645.846,146.394,0
101,131832.33333333334,76.0,120.0,9.4,113.6,536.0,199123250.0,9.4,0.829616674709795,15686.064,145.72,0
102,131874.0,67.8,122.0,9.4,113.8,546.0,199123250.0,9.4,0.829616674709795,15726.282,144.99,0
103,131914.33333333334,68.9,121.3,9.5,113.2,599.0,199123250.0,9.5,0.829616674709795,15753.519666666669,143.915,0
104,131954.66666666666,68.2,121.4,9.5,112.2,594.0,199123250.0,9.5,0.829616674709795,15780.757333333331,143.018,0
105,131995.0,67.7,120.4,9.4,113.2,543.0,199123250.0,9.4,0.829616674709795,15807.995,142.531,0
106,132035.66666666666,71.6,120.2,9.8,113.7,545.0,199123250.0,9.8,0.829616674709795,15795.300333333334,142.172,0
107,132076.33333333334,74.5,121.6,9.3,113.9,539.0,199123250.0,9.3,0.829616674709795,15782.605666666666,142.061,0
108,132117.0,74.2,122.1,9.1,115.7,630.0,199888916.666667,9.1,0.726786704810745,15769.911,141.52200000000002,0
109,132157.66666666666,77.5,123.8,9.0,116.8,517.0,199888916.666667,9.0,0.726786704810745,15805.553666666669,140.351,0
110,132198.33333333334,67.5,125.1,9.0,118.7,600.0,199888916.666667,9.0,0.726786704810745,15841.196333333331,139.982,0
111,132239.0,69.8,125.5,9.1,119.6,554.0,199888916.666667,9.1,0.726786704810745,15876.839,140.01,0
112,132280.0,74.3,124.2,9.0,120.3,561.0,199888916.666667,9.0,0.726786704810745,15874.787333333334,139.905,0
113,132321.0,71.5,123.1,9.1,120.4,608.0,199888916.666667,9.1,0.726786704810745,15872.735666666666,139.862,0
114,132362.0,63.7,123.2,9.0,120.4,623.0,199888916.666667,9.0,0.726786704810745,15870.684,139.73,0
115,132405.0,55.8,124.3,9.0,120.7,585.0,199888916.666667,9.0,0.726786704810745,15930.023333333333,139.308,0
116,132448.0,59.5,123.8,9.0,120.1,650.0,199888916.666667,9.0,0.726786704810745,15989.362666666666,138.66899999999998,0
117,132491.0,60.8,126.1,8.8,120.5,610.0,199888916.666667,8.8,0.726786704810745,16048.702,137.953,0
118,132533.66666666666,63.7,126.0,8.6,120.7,711.0,199888916.666667,8.6,0.726786704810745,16092.457333333334,137.153,0
119,132576.33333333334,69.9,125.2,8.5,120.9,694.0,199888916.666667,8.5,0.726786704810745,16136.212666666666,136.675,0
120,132619.0,75.0,126.0,8.3,122.1,723.0,201415250.0,8.3,0.733599941250847,16179.968,136.608,0
121,132662.0,75.3,126.9,8.3,122.9,704.0,201415250.0,8.3,0.733599941250847,16204.554,136.533,0
122,132705.0,76.2,127.4,8.2,124.1,695.0,201415250.0,8.2,0.733599941250847,16229.14,137.905,0
123,132748.0,76.4,128.9,8.2,124.5,753.0,201415250.0,8.2,0.733599941250847,16253.726,139.155,0
124,132795.33333333334,79.3,127.8,8.2,124.5,708.0,201415250.0,8.2,0.733599941250847,16263.201,140.155,0
125,132842.66666666666,73.2,128.8,8.2,124.5,757.0,201415250.0,8.2,0.733599941250847,16272.676,141.03,0
126,132890.0,72.3,128.5,8.2,124.0,740.0,201415250.0,8.2,0.733599941250847,16282.151,141.66899999999998,0
127,132947.33333333334,74.3,130.4,8.1,124.2,754.0,201415250.0,8.1,0.733599941250847,16288.112333333333,142.281,0
128,133004.66666666666,78.3,132.3,7.8,123.3,847.0,201415250.0,7.8,0.733599941250847,16294.073666666667,142.909,0
129,133062.0,82.6,132.2,7.8,124.2,915.0,201415250.0,7.8,0.733599941250847,16300.035,143.602,0
130,133119.33333333334,82.7,131.4,7.7,124.1,833.0,201415250.0,7.7,0.733599941250847,16347.185,144.586,0
131,133176.66666666666,72.9,133.4,7.9,124.0,976.0,201415250.0,7.9,0.733599941250847,16394.335,145.503,0
132,133234.0,73.8,135.8,8.0,125.0,888.0,202267583.333333,8.0,0.692860276624581,16441.485,146.827,0
133,133292.0,77.6,138.9,7.7,125.4,962.0,202267583.333333,7.7,0.692860276624581,16449.124,147.783,0
134,133350.0,78.6,139.1,7.5,126.3,1010.0,202267583.333333,7.5,0.692860276624581,16456.763,149.963,0
135,133408.0,76.4,141.9,7.6,125.5,835.0,202267583.333333,7.6,0.692860276624581,16464.402,151.519,0
136,133469.66666666666,84.5,140.7,7.5,125.1,930.0,202267583.333333,7.5,0.692860276624581,16507.849,152.849,0
137,133531.33333333334,84.1,140.2,7.5,126.0,839.0,202267583.333333,7.5,0.692860276624581,16551.296,154.19899999999998,0
