DATE,LREM64TTUSM156S
2002-01-01,72.0164916298855
2002-02-01,72.3333098537061
2002-03-01,72.1321904387761
2002-04-01,71.9150862885645
2002-05-01,72.0259454584681
2002-06-01,71.8415976183793
2002-07-01,71.7475693074201
2002-08-01,71.8888744427129
2002-09-01,72.0771655373591
2002-10-01,71.8898056338426
2002-11-01,71.5418712996904
2002-12-01,71.5702667205511
2003-01-01,71.5901364063666
2003-02-01,71.5216291392128
2003-03-01,71.397721503288
2003-04-01,71.3776313514581
2003-05-01,71.2130042732107
2003-06-01,71.2150251994821
2003-07-01,70.9892700849208
2003-08-01,71.0030612120238
2003-09-01,70.9193816020884
2003-10-01,71.0564452689323
2003-11-01,71.1384442507041
2003-12-01,71.1178422448983
2004-01-01,71.2788050684445
2004-02-01,71.2097318174438
2004-03-01,71.0497805017363
2004-04-01,71.1817588964935
2004-05-01,71.1320428012636
2004-06-01,71.1064500369221
2004-07-01,71.3041417988805
2004-08-01,71.2647844339153
2004-09-01,71.1521590896717
2004-10-01,71.2242018310224
2004-11-01,71.3634636791387
2004-12-01,71.299925268726
2005-01-01,71.3102675167279
2005-02-01,71.2244624805278
2005-03-01,71.2654065284129
2005-04-01,71.4366437737022
2005-05-01,71.5286159105597
2005-06-01,71.494360179617
2005-07-01,71.6281305421663
2005-08-01,71.8245572251537
2005-09-01,71.6869795970993
2005-10-01,71.693833341672
2005-11-01,71.5574156434844
2005-12-01,71.6272922696257
2006-01-01,71.690531744003
2006-02-01,71.7741807061563
2006-03-01,71.8419289732005
2006-04-01,71.7892300842693
2006-05-01,71.8686595430653
2006-06-01,72.0066357740408
2006-07-01,72.0067876189087
2006-08-01,72.0966157600494
2006-09-01,72.050873036717
2006-10-01,72.2433147607166
2006-11-01,72.1793588670628
2006-12-01,72.3255485543409
2007-01-01,72.1389786666459
2007-02-01,71.9754313253314
2007-03-01,72.0188718024501
2007-04-01,71.7047436543484
2007-05-01,71.7523530194965
2007-06-01,71.7692298204664
2007-07-01,71.7336819674446
2007-08-01,71.5659257477361
2007-09-01,71.6981546272485
2007-10-01,71.5803045302188
2007-11-01,71.7771614629463
2007-12-01,71.5532926113138
2008-01-01,71.6783781969819
2008-02-01,71.435293581499
2008-03-01,71.405518624937
2008-04-01,71.4270797560234
2008-05-01,71.2029905410887
2008-06-01,71.1271146045097
2008-07-01,70.9372729752532
2008-08-01,70.7190251847728
2008-09-01,70.540823791512
2008-10-01,70.3949126003307
2008-11-01,69.9479148378307
2008-12-01,69.5581217375273
2009-01-01,69.0239915520256
2009-02-01,68.7232146359765
2009-03-01,68.2114764112269
2009-04-01,68.1175033581794
2009-05-01,67.7649001785639
2009-06-01,67.8097728949934
2009-07-01,67.6999383608264
2009-08-01,67.3297366610746
2009-09-01,66.8819393492895
2009-10-01,66.6074131026783
2009-11-01,66.6757442290142
2009-12-01,66.4105191281779
2010-01-01,66.7493004945554
2010-02-01,66.7075195826625
2010-03-01,66.7296430527072
2010-04-01,66.8654314965522
2010-05-01,66.7558477285922
2010-06-01,66.7510741748305
2010-07-01,66.7324437302398
2010-08-01,66.7833483131096
2010-09-01,66.6605343882294
2010-10-01,66.4639098207166
2010-11-01,66.3727218100545
2010-12-01,66.4940765556386
2011-01-01,66.6797456311241
2011-02-01,66.5974727710918
2011-03-01,66.6849101959247
2011-04-01,66.5364426971001
2011-05-01,66.5364468258517
2011-06-01,66.4126931084804
2011-07-01,66.401281161031
2011-08-01,66.6650320898062
2011-09-01,66.6875291894894
2011-10-01,66.6716699294937
2011-11-01,66.8217850143726
2011-12-01,66.8558767510904
2012-01-01,66.9279894184415
2012-02-01,66.9650039716589
2012-03-01,66.9869079964518
2012-04-01,66.91903497136
2012-05-01,67.0612681298211
2012-06-01,67.1283029699315
2012-07-01,67.0470875203821
2012-08-01,67.0015719336249
2012-09-01,67.3141844961072
2012-10-01,67.5013022277516
2012-11-01,67.2838797625009
2012-12-01,67.2979672124517
2013-01-01,67.2584805724584
2013-02-01,67.2427197121446
2013-03-01,67.1771183207476
2013-04-01,67.2680421672198
2013-05-01,67.3404180447339
2013-06-01,67.3657880514098
2013-07-01,67.4886505649831
2013-08-01,67.415546987185
2013-09-01,67.4701323208598
2013-10-01,67.1355221884585
2013-11-01,67.45001282898
2013-12-01,67.540370430589
2014-01-01,67.7119004520981
2014-02-01,67.6848878002402
2014-03-01,67.9184797179588
2014-04-01,67.9356192490344
2014-05-01,68.0276976338772
2014-06-01,68.1555785338041
2014-07-01,68.1717244297463
2014-08-01,68.2269465613404
2014-09-01,68.2818442441755
2014-10-01,68.5808558750651
2014-11-01,68.5201365256652
2014-12-01,68.4830259045334
2015-01-01,68.5445369868969
2015-02-01,68.5362037954369
2015-03-01,68.4292229087655
2015-04-01,68.6835160989819
2015-05-01,68.7980752564137
2015-06-01,68.6868357512872
2015-07-01,68.6366901506224
2015-08-01,68.7580949027673
2015-09-01,68.6527413765427
2015-10-01,68.727915235944
2015-11-01,68.8783233123858
2015-12-01,69.0806925662101
2016-01-01,69.1879710576038
2016-02-01,69.2626907074388
2016-03-01,69.2818036945703
2016-04-01,69.173863547746
2016-05-01,69.2893706881234
2016-06-01,69.1996294204532
2016-07-01,69.2867306013526
2016-08-01,69.3836583023397
2016-09-01,69.4274833712712
2016-10-01,69.4290451111874
2016-11-01,69.5544750020533
2016-12-01,69.5643111954603
2017-01-01,69.6452551468928
2017-02-01,69.716673658585
2017-03-01,70.0106852016707
2017-04-01,70.0872949743237
2017-05-01,70.0090435002788
2017-06-01,70.0982430022366
